,Company,Market_Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Unnamed: 16,norm_name,match,match_score,comp_name,WikidataID,Des,Logo,employees_count,Market_Value_class,Revenue_class,Profits_class,Assets_class,Rank_class
208,Lowe's,72.213,68.619,3.436,35.291,211.0,Consumer Discretionary,Home_Improvement_Retail,North America,United_States,North Carolina,North Carolina,Robert Niblock,http://www.forbes.com/companies/lowes/,0.09736193364,0.05007359478,,lowe's,lowe's,1,lowe's,http://www.wikidata.org/entity/Q1373493,North American home improvement retail chain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Lowes_Companies_Logo.svg,0.0,high,high,high,mid,low
209,MondelÄz_International,57.867,26.247,3.19,64.503,211.0,Consumer Staples,Food_Processing,North America,United_States,Illinois,Illinois,Dirk van de Put,http://www.forbes.com/companies/mondelez-international/,0.04945506411,0.1215376995,,mondeläz international,mondelēz international,0,mondelēz international,http://www.wikidata.org/entity/Q12857502,"American multinational confectionery, food and beverage conglomerate",https://upload.wikimedia.org/wikipedia/commons/c/c7/Mondelez_international_2012_logo.svg,0.0,high,mid,high,mid,low
210,AstraZeneca,90.618,22.44,2.9761,63.354,213.0,Health Care,Pharmaceuticals,Europe,United_Kingdom,United Kingdom,,Pascal Soriot,http://www.forbes.com/companies/astrazeneca/,0.04697572371,0.1326247772,,astrazeneca,astrazeneca,1,astrazeneca,http://www.wikidata.org/entity/Q731938,British-Swedish pharmaceutical company,https://upload.wikimedia.org/wikipedia/commons/7/74/Astrazeneca_text_logo.svg,70600.0,high,mid,high,mid,low
211,3M,121.802,32.25,4.137,38.575,214.0,Industrials,Conglomerates,North America,United_States,Minnesota,Minnesota,Inge Thulin,http://www.forbes.com/companies/3m/,0.1072456254,0.1282790698,,3m,3m,1,3m,http://www.wikidata.org/entity/Q159433,American multinational conglomerate corporation,https://upload.wikimedia.org/wikipedia/commons/1/15/3M_wordmark.svg,91827.0,high,high,high,mid,low
212,Amgen,115.811,22.965,2.219,71.164,215.0,Health Care,Biotechs,North America,United_States,California,California,Robert Bradway,http://www.forbes.com/companies/amgen/,0.03118149626,0.09662529937,,amgen,amgen,1,amgen,http://www.wikidata.org/entity/Q470517,American multinational biopharmaceutical company,https://upload.wikimedia.org/wikipedia/commons/a/ab/Amgen.svg,17900.0,high,mid,mid,mid,low
213,Marathon_Petroleum,35.717,71.577,3.436,50.364,216.0,Energy,Oil_&_Gas_Operations,North America,United_States,Ohio,Ohio,Gary Heminger,http://www.forbes.com/companies/marathon-petroleum/,0.06822333413,0.04800424717,,marathon petroleum,marathon petroleum,1,marathon petroleum,http://www.wikidata.org/entity/Q458363,"American petroleum refining, marketing, and transportation company",https://upload.wikimedia.org/wikipedia/commons/b/bb/Marathon_Oil_Logo.svg,0.0,mid,high,high,mid,low
214,Altria_Group,104.455,19.575,10.701,43.899,217.0,Consumer Staples,Tobacco,North America,United_States,Virginia,Virginia,Martin Barrington,http://www.forbes.com/companies/altria-group/,0.2437640949,0.5466666667,,altria group,alfa group,0,alfa group,http://www.wikidata.org/entity/Q917701,Mexican multinational conglomerate,https://upload.wikimedia.org/wikipedia/commons/f/f5/ALFA_logo.svg,0.0,high,mid,high,mid,low
215,China_Railway_Construction,20.318,103.203,2.506,131.134,218.0,Industrials,Construction_Services,Asia,China,China,,Shao Huang,http://www.forbes.com/companies/china-railway-construction/,0.01911022313,0.02428223986,,china railway construction,china construction bank,0,china construction bank,http://www.wikidata.org/entity/Q26299,bank in the People's Republic of China,https://upload.wikimedia.org/wikipedia/commons/e/e6/China_Construction_Bank_logo.svg,369183.0,mid,high,mid,mid,low
216,KB_Financial_Group,21.718,29.004,3.0688,409.235,219.0,Financials,Regional_Banks,Asia,South_Korea,South Korea,,Jong-Kyoo Yoon,http://www.forbes.com/companies/kb-financial-group/,0.007498869843,0.1058060957,,kb financial group,kb financial group,1,kb financial group,http://www.wikidata.org/entity/Q12581339,"major Korean finance group, known due to daughter company (KB Kookmin Bank)",https://upload.wikimedia.org/wikipedia/commons/9/9f/Kookminbank.jpg,0.0,mid,mid,high,high,low
217,Cigna,42.263,42.636,2.554,63.141,220.0,Health Care,Managed_Health_Care,North America,United_States,Connecticut,Connecticut,David Cordani,http://www.forbes.com/companies/cigna/,0.04044915348,0.05990242987,,cigna,cigna,1,cigna,http://www.wikidata.org/entity/Q642271,American health services organization,https://upload.wikimedia.org/wikipedia/commons/3/3c/Cigna_logo.jpg,0.0,mid,high,mid,mid,low
