rec,hasIdentifier,Object_hasIdentifier
rec,schema#orderedCreators,Object_schema#orderedCreators
rec,schema#yearOfEvent,Object_schema#yearOfEvent
rec,owl#sameAs,sameAs
pid,rdf-schema#label,Object_rdf-schema#label
rec,schema#authoredBy,pid
rec,schema#bibtexType,net
pid,22-rdf-syntax-ns#type,rdf
rec,schema#listedOnTocPage,db
rec,schema#publishedInJournalVolumeIssue,Object_schema#publishedInJournalVolumeIssue
rec,schema#primaryElectronicEdition,primaryElectronicEdition
rec,schema#title,Object_schema#title
pid,schema#primaryFullCreatorName,Object_schema#primaryFullCreatorName
rec,schema#numberOfCreators,Object_schema#numberOfCreators
rec,schema#doi,doi
rec,schema#publishedInJournalVolume,Object_schema#publishedInJournalVolume
pid,schema#orcid,orcid
rec,schema#archivedElectronicEdition,archive
pid,schema#primaryHomepage,primaryHomepage
rec,schema#otherElectronicEdition,otherElectronicEdition
rec,schema#wikidata,entity
pid,schema#primaryAffiliation,Object_schema#primaryAffiliation
rec,schema#pagination,Object_schema#pagination
rec,schema#publishedInJournal,Object_schema#publishedInJournal
pid,schema#wikipedia,wiki
pid,schema#otherHomepage,otherHomepage
pid,schema#otherAffiliation,Object_schema#otherAffiliation
rec,schema#publishedAsPartOf,rec
pid,schema#webpage,webpage
pid,schema#otherFullCreatorName,Object_schema#otherFullCreatorName
rec,schema#monthOfPublication,Object_schema#monthOfPublication
pid,owl#differentFrom,differentFrom
rec,schema#publicationNote,Object_schema#publicationNote
pid,schema#awardWebpage,awardWebpage
pid,schema#creatorNote,Object_schema#creatorNote
pid,schema#archivedWebpage,archivedWebpage
rec,schema#isbn,Object_schema#isbn
rec,schema#editedBy,pid
rec,schema#publishedBy,Object_schema#publishedBy
rec,schema#publishedInSeries,Object_schema#publishedInSeries
rec,schema#publishedInSeriesVolume,Object_schema#publishedInSeriesVolume
rec,schema#yearOfPublication,Object_schema#yearOfEvent
rec,schema#type,rdf
rec,has_gnn_model,bool
rec,schema#publishedInBook,Object_schema#publishedInBook
rec,schema#publishedIn,Object_schema#journal
