s,o
https://dblp.org/pid/w/LeiWang33,Microsoft
https://dblp.org/pid/43/808,Microsoft
https://dblp.org/pid/27/3594-2,Microsoft
https://dblp.org/pid/52/1800-6,Microsoft
https://dblp.org/pid/161/6009,Microsoft
https://dblp.org/pid/a/OmarAlonso,Microsoft
https://dblp.org/pid/c/SurajitChaudhuri,Microsoft
https://dblp.org/pid/l/PALarson,Microsoft
https://dblp.org/pid/279/6349,Microsoft
https://dblp.org/pid/r/GGRobertson,Microsoft
https://dblp.org/pid/r/RichardFRashid,Microsoft
https://dblp.org/pid/08/3571-2,Microsoft
https://dblp.org/pid/60/11151,Microsoft
https://dblp.org/pid/w/LeiWang21,Microsoft
https://dblp.org/pid/75/7583-2,Microsoft
https://dblp.org/pid/13/1228,Microsoft
https://dblp.org/pid/j/MichaelBJones,Microsoft
https://dblp.org/pid/49/3283-34,Microsoft
https://dblp.org/pid/122/6337,Microsoft
https://dblp.org/pid/24/8510,Microsoft
https://dblp.org/pid/213/5895,Microsoft
https://dblp.org/pid/56/1716,Microsoft
https://dblp.org/pid/65/4124-10,Microsoft
https://dblp.org/pid/g/AlbertGGreenberg,Microsoft
https://dblp.org/pid/g/BillGates,Microsoft
https://dblp.org/pid/74/4923,Microsoft
https://dblp.org/pid/b/GBell,Microsoft
https://dblp.org/pid/b/TomBarclay,Microsoft
https://dblp.org/pid/304/3525,Microsoft
https://dblp.org/pid/39/228-1,Microsoft
https://dblp.org/pid/39/4296,Microsoft
https://dblp.org/pid/12/1499-7,Microsoft
https://dblp.org/pid/06/4938-1,Microsoft
https://dblp.org/pid/06/915,Microsoft
https://dblp.org/pid/14/2726,Elsevier
https://dblp.org/pid/88/1336,Andhra University
https://dblp.org/pid/00/10545,Stanford University
https://dblp.org/pid/45/5819-1,Stanford University
https://dblp.org/pid/47/8135,Stanford University
https://dblp.org/pid/182/2122,Stanford University
https://dblp.org/pid/34/2029,Stanford University
https://dblp.org/pid/48/4613,Stanford University
https://dblp.org/pid/41/439,Stanford University
https://dblp.org/pid/29/986-6,Stanford University
https://dblp.org/pid/05/424,Stanford University
https://dblp.org/pid/70/1420,Stanford University
https://dblp.org/pid/181/5945,Stanford University
https://dblp.org/pid/129/7529,Stanford University
https://dblp.org/pid/154/6336,Stanford University
https://dblp.org/pid/s/JunSun3,Stanford University
https://dblp.org/pid/11/10308,Stanford University
https://dblp.org/pid/148/2252,Stanford University
https://dblp.org/pid/77/10202-2,Stanford University
https://dblp.org/pid/92/5517,Stanford University
https://dblp.org/pid/38/7225,Stanford University
https://dblp.org/pid/132/3907,Stanford University
https://dblp.org/pid/26/6661,Stanford University
https://dblp.org/pid/06/6420-2,Stanford University
https://dblp.org/pid/149/1202,Stanford University
https://dblp.org/pid/63/8171-4,Paris- France
https://dblp.org/pid/62/3689-12,The University of Texas at Austin
https://dblp.org/pid/13/5236-5,Arkansas State University
https://dblp.org/pid/a/ShlomoArgamon,Illinois Institute of Technology
https://dblp.org/pid/s/MiaoSong4,Illinois Institute of Technology
https://dblp.org/pid/52/1894-2,Iowa State University of Science and Technology
https://dblp.org/pid/59/6384,Ohio University
https://dblp.org/pid/09/1365-13,Temple University
https://dblp.org/pid/53/2189-19,University of Alabama
https://dblp.org/pid/c/JeffreyCCarver,University of Alabama
https://dblp.org/pid/51/4015-8,Utah State University
https://dblp.org/pid/d/CEDyreson,Utah State University
https://dblp.org/pid/22/8024,Utah State University
https://dblp.org/pid/22/8733,University of Tartu
https://dblp.org/pid/46/999-18,Texas Tech University
https://dblp.org/pid/05/6736,Texas Tech University
https://dblp.org/pid/38/10688-2,Texas Tech University
https://dblp.org/pid/52/5308-3,Chinese Academy of Sciences
https://dblp.org/pid/07/6728-3,Chinese Academy of Sciences
https://dblp.org/pid/09/5042-5,Harbin Engineering University
https://dblp.org/pid/141/8897,University of Delhi
https://dblp.org/pid/27/7270,Royal Holloway- University of London
https://dblp.org/pid/09/8464-1,Royal Holloway- University of London
https://dblp.org/pid/184/6051,Royal Holloway- University of London
https://dblp.org/pid/16/8675-4,Texas A&M University
https://dblp.org/pid/55/3697,Texas A&M University
https://dblp.org/pid/92/1305-2,Texas A&M University
https://dblp.org/pid/90/3909,Texas A&M University
https://dblp.org/pid/41/11358,Texas A&M University
https://dblp.org/pid/56/4341,University of Edinburgh
https://dblp.org/pid/70/1220-13,University of Edinburgh
https://dblp.org/pid/47/3905,University of Edinburgh
https://dblp.org/pid/130/6547,University of Edinburgh
https://dblp.org/pid/71/2142,University of Edinburgh
https://dblp.org/pid/04/5629,University of Edinburgh
https://dblp.org/pid/24/1972,University of Edinburgh
https://dblp.org/pid/45/780-2,National Institutes of Health
https://dblp.org/pid/23/1587,PARC
https://dblp.org/pid/43/3166-16,University of Kansas
https://dblp.org/pid/98/2199,University of Kansas
https://dblp.org/pid/35/5562-1,University of Kansas
https://dblp.org/pid/14/6061,University of North Carolina at Chapel Hill
https://dblp.org/pid/99/4916-4,University of North Carolina at Chapel Hill
https://dblp.org/pid/50/6700,University of North Carolina at Chapel Hill
https://dblp.org/pid/39/5688,CWI
https://dblp.org/pid/59/3064,Apple
https://dblp.org/pid/63/1908,Apple
https://dblp.org/pid/02/2354,Apple
https://dblp.org/pid/50/2632,Apple
https://dblp.org/pid/132/7797,Apple
https://dblp.org/pid/09/3580-1,Apple
https://dblp.org/pid/73/4452-7,Apple
https://dblp.org/pid/67/4883-3,Apple
https://dblp.org/pid/66/6078-1,University of Leicester
https://dblp.org/pid/21/9897,University of Leicester
https://dblp.org/pid/54/778,University of Leicester
https://dblp.org/pid/04/5072-5,Cornell University Library
https://dblp.org/pid/42/815,University of California- Riverside
https://dblp.org/pid/34/9991,University of California- Riverside
https://dblp.org/pid/r/KKRamakrishnan,University of California- Riverside
https://dblp.org/pid/30/4954-1,University of California- Riverside
https://dblp.org/pid/67/6649-10,University of California- Riverside
https://dblp.org/pid/34/6522-2,University of California- Riverside
https://dblp.org/pid/33/2980,University of Tasmania
https://dblp.org/pid/171/1489,University of Tasmania
https://dblp.org/pid/33/5763-1,University of California- Los Angeles
https://dblp.org/pid/92/1681,University of California- Los Angeles
https://dblp.org/pid/z/NanZhang5,University of Central Florida
https://dblp.org/pid/89/2560-6,University of Central Florida
https://dblp.org/pid/99/4916-3,University of Central Florida
https://dblp.org/pid/92/3070-3,University of Central Florida
https://dblp.org/pid/58/2891,University of Central Florida
https://dblp.org/pid/52/6282,University of Central Florida
https://dblp.org/pid/64/1350-25,University of Missouri
https://dblp.org/pid/51/7239,CERN
https://dblp.org/pid/01/5511-3,University of Puerto Rico
https://dblp.org/pid/67/2030-10,University of Puerto Rico
https://dblp.org/pid/40/1352,University of Puerto Rico
https://dblp.org/pid/40/7544,University of Puerto Rico
https://dblp.org/pid/50/8085,University of Melbourne
https://dblp.org/pid/144/0219,University of Melbourne
https://dblp.org/pid/31/4052,Universidad Nacional Autónoma de México
https://dblp.org/pid/89/2560-3,Universidad Nacional Autónoma de México
https://dblp.org/pid/21/7054,Universidad Nacional Autónoma de México
https://dblp.org/pid/137/4489,University at Buffalo
https://dblp.org/pid/80/1388,University at Buffalo
https://dblp.org/pid/88/6921,University at Buffalo
https://dblp.org/pid/92/4565,University at Buffalo
https://dblp.org/pid/86/1763-1,London School of Economics
https://dblp.org/pid/06/1838-2,(unknown)
https://dblp.org/pid/215/8530,(unknown)
https://dblp.org/pid/36/10778-2,National Taiwan Ocean University
https://dblp.org/pid/191/4186,University of Washington
https://dblp.org/pid/85/2189,University of Washington
https://dblp.org/pid/66/6237-3,University of Washington
https://dblp.org/pid/09/5152-1,University of Washington
https://dblp.org/pid/131/5234,University of Washington
https://dblp.org/pid/38/10688-1,University of Washington
https://dblp.org/pid/116/0750,University of Washington
https://dblp.org/pid/c/PeterChristen,The Australian National University
https://dblp.org/pid/65/6264,University of Warwick
https://dblp.org/pid/94/3837,Chinese University of Hong Kong
https://dblp.org/pid/w/CKWong,Chinese University of Hong Kong
https://dblp.org/pid/w/DYLWu,Chinese University of Hong Kong
https://dblp.org/pid/w/VKWWei,Chinese University of Hong Kong
https://dblp.org/pid/m/MaxQHMeng,Chinese University of Hong Kong
https://dblp.org/pid/89/2937,Chinese University of Hong Kong
https://dblp.org/pid/l/JannyLeung,Chinese University of Hong Kong
https://dblp.org/pid/l/KwongSakLeung,Chinese University of Hong Kong
https://dblp.org/pid/l/WingCheongLau,Chinese University of Hong Kong
https://dblp.org/pid/l/YunhuiLiu,Chinese University of Hong Kong
https://dblp.org/pid/11/2362,Chinese University of Hong Kong
https://dblp.org/pid/80/3143,Chinese University of Hong Kong
https://dblp.org/pid/54/3900,Chinese University of Hong Kong
https://dblp.org/pid/47/6795,Chinese University of Hong Kong
https://dblp.org/pid/c/LeizhenCai,Chinese University of Hong Kong
https://dblp.org/pid/c/OliverChiusingChoy,Chinese University of Hong Kong
https://dblp.org/pid/c/WaikuenCham,Chinese University of Hong Kong
https://dblp.org/pid/w/KamFaiWong,Chinese University of Hong Kong
https://dblp.org/pid/22/3870-3,Chinese University of Hong Kong
https://dblp.org/pid/40/4105-1,Chinese University of Hong Kong
https://dblp.org/pid/61/3234-15,Chinese University of Hong Kong
https://dblp.org/pid/95/693-4,Chinese University of Hong Kong
https://dblp.org/pid/82/4299-5,Chinese University of Hong Kong
https://dblp.org/pid/90/1977-4,Chinese University of Hong Kong
https://dblp.org/pid/85/7941,Chinese University of Hong Kong
https://dblp.org/pid/c/DCai-2,Chinese University of Hong Kong
https://dblp.org/pid/y/EFYYoung,Chinese University of Hong Kong
https://dblp.org/pid/k/IrwinKing,Chinese University of Hong Kong
https://dblp.org/pid/n/KamWingNg,Chinese University of Hong Kong
https://dblp.org/pid/n/KingNgiNgan,Chinese University of Hong Kong
https://dblp.org/pid/05/5028,Chinese University of Hong Kong
https://dblp.org/pid/05/1897,Chinese University of Hong Kong
https://dblp.org/pid/56/9077-2,Chinese University of Hong Kong
https://dblp.org/pid/115/6282-2,Chinese University of Hong Kong
https://dblp.org/pid/y/YeungYam,Chinese University of Hong Kong
https://dblp.org/pid/12/417-11,Chinese University of Hong Kong
https://dblp.org/pid/37/6235-6,Chinese University of Hong Kong
https://dblp.org/pid/40/1491-20,Chinese University of Hong Kong
https://dblp.org/pid/40/1491-21,Chinese University of Hong Kong
https://dblp.org/pid/44/5733-3,Chinese University of Hong Kong
https://dblp.org/pid/50/6759-13,Chinese University of Hong Kong
https://dblp.org/pid/58/2847-3,Chinese University of Hong Kong
https://dblp.org/pid/82/3116-5,Chinese University of Hong Kong
https://dblp.org/pid/l/JackYiuBunLee,Chinese University of Hong Kong
https://dblp.org/pid/l/JianzhuangLiu,Chinese University of Hong Kong
https://dblp.org/pid/l/SoungChangLiew,Chinese University of Hong Kong
https://dblp.org/pid/t/YufeiTao,Chinese University of Hong Kong
https://dblp.org/pid/d/TimonCDu,Chinese University of Hong Kong
https://dblp.org/pid/188/1842,Chinese University of Hong Kong
https://dblp.org/pid/24/4603,Chinese University of Hong Kong
https://dblp.org/pid/28/3556,Technische Universiteit Delft
https://dblp.org/pid/134/9673,University Medical Center Utrecht
https://dblp.org/pid/00/8526,Yale University
https://dblp.org/pid/p/RuzicaPiskac,Yale University
https://dblp.org/pid/46/6823,Yale University
https://dblp.org/pid/03/3843,Yale University
https://dblp.org/pid/67/5132,Yale University
https://dblp.org/pid/132/9101,Yale University
https://dblp.org/pid/49/6828,Yale University
https://dblp.org/pid/62/5839-5,Yale University
https://dblp.org/pid/115/9332,Yale University
https://dblp.org/pid/g/DavidGelernter,Yale University
https://dblp.org/pid/02/2229,Yale University
https://dblp.org/pid/53/9964,Yale University
https://dblp.org/pid/222/2147,Yale University
https://dblp.org/pid/14/267,Yale University
https://dblp.org/pid/42/962,Yale University
https://dblp.org/pid/97/8092,University of New Brunswick
https://dblp.org/pid/04/5555,Bosch
https://dblp.org/pid/89/3488-4,Simon Fraser University
https://dblp.org/pid/70/5618-2,Simon Fraser University
https://dblp.org/pid/18/2771-2,Simon Fraser University
https://dblp.org/pid/147/2228,Simon Fraser University
https://dblp.org/pid/87/2614,Simon Fraser University
https://dblp.org/pid/39/7183,Simon Fraser University
https://dblp.org/pid/l/PeterLee3,University of Birmingham
https://dblp.org/pid/10/5630-6,University of Birmingham
https://dblp.org/pid/l/AlesLeonardis,University of Birmingham
https://dblp.org/pid/63/9609-3,The Ohio State University
https://dblp.org/pid/65/5338,The Ohio State University
https://dblp.org/pid/23/2759-1,University of Illinois
https://dblp.org/pid/92/3956-6,University of Illinois
https://dblp.org/pid/g/DavidEGoldberg,University of Illinois
https://dblp.org/pid/11/3390,Brown University
https://dblp.org/pid/54/8734,Brown University
https://dblp.org/pid/39/721-3,Brown University
https://dblp.org/pid/00/8680,TU Delft
https://dblp.org/pid/80/9245,TU Delft
https://dblp.org/pid/132/1069,TU Delft
https://dblp.org/pid/36/9180,TU Delft
https://dblp.org/pid/07/7044-1,TU Delft
https://dblp.org/pid/79/2974,TU Delft
https://dblp.org/pid/04/584,TU Delft
https://dblp.org/pid/66/3859-1,Kyoto University
https://dblp.org/pid/j/AdamJatowt,Kyoto University
https://dblp.org/pid/t/YutakaTakahashi,Kyoto University
https://dblp.org/pid/125/0935,Freie Universität Berlin
https://dblp.org/pid/49/1051,University of Glasgow
https://dblp.org/pid/119/4841,University of Glasgow
https://dblp.org/pid/02/2224,University of Glasgow
https://dblp.org/pid/14/3015,University of Glasgow
https://dblp.org/pid/76/7916,University of Maryland
https://dblp.org/pid/43/3994,University of Maryland
https://dblp.org/pid/45/5193-6,University of Maryland
https://dblp.org/pid/p/WilliamPugh,University of Maryland
https://dblp.org/pid/29/6237,University of Maryland
https://dblp.org/pid/66/4424,University of Maryland
https://dblp.org/pid/25/8184,University of Maryland
https://dblp.org/pid/44/85-2,University of Maryland
https://dblp.org/pid/51/7848,University of Maryland
https://dblp.org/pid/10/10874,University of Maryland
https://dblp.org/pid/45/661-4,University of Maryland
https://dblp.org/pid/169/8258,University of Maryland
https://dblp.org/pid/90/3161,University of Maryland
https://dblp.org/pid/87/6340-1,Universität Göttingen
https://dblp.org/pid/56/6992,Middlesex University
https://dblp.org/pid/129/8700,Middlesex University
https://dblp.org/pid/31/8186,McGill University
https://dblp.org/pid/93/1908-4,McGill University
https://dblp.org/pid/88/611,McGill University
https://dblp.org/pid/10/4661-34,McGill University
https://dblp.org/pid/40/2237-3,McGill University
https://dblp.org/pid/f/BCMFung,McGill University
https://dblp.org/pid/34/7030,University of East Anglia
https://dblp.org/pid/28/1044,Universität Wien
https://dblp.org/pid/k/StevenOrlaKimbrough,University of Pennsylvania
https://dblp.org/pid/75/11005,University of Pennsylvania
https://dblp.org/pid/60/1683-1,University of Pennsylvania
https://dblp.org/pid/89/2801,University of Pennsylvania
https://dblp.org/pid/125/3242,University of Pennsylvania
https://dblp.org/pid/39/3354,University of Pennsylvania
https://dblp.org/pid/72/1358-10,Ericsson
https://dblp.org/pid/75/388,University of Mauritius
https://dblp.org/pid/m/RobMiller2,University College London
https://dblp.org/pid/01/8857,University College London
https://dblp.org/pid/45/1575,University College London
https://dblp.org/pid/g/AntonioGonzalez2,University College London
https://dblp.org/pid/10/2833,University College London
https://dblp.org/pid/h/MarkHandley,University College London
https://dblp.org/pid/44/923,University College London
https://dblp.org/pid/84/6889-50,University College London
https://dblp.org/pid/96/3995-4,University College London
https://dblp.org/pid/57/4166,University College London
https://dblp.org/pid/46/9730,University College London
https://dblp.org/pid/17/7424,Universiteit Utrecht
https://dblp.org/pid/27/9877,Universitat Politècnica de Catalunya
https://dblp.org/pid/88/2053,Universitat Politècnica de Catalunya
https://dblp.org/pid/152/8806,Universitat Politècnica de Catalunya
https://dblp.org/pid/27/4744-10,Deloitte & Touche
https://dblp.org/pid/43/2822,Universidad de Zaragoza
https://dblp.org/pid/b/BBrassel,Christian-Albrechts-Universität zu Kiel
https://dblp.org/pid/f/MJFranklin,University of Chicago
https://dblp.org/pid/84/5664,University of Chicago
https://dblp.org/pid/155/9723,University of Chicago
https://dblp.org/pid/117/3757,University of Chicago
https://dblp.org/pid/56/746,University of Groningen
https://dblp.org/pid/20/5842,University of Groningen
https://dblp.org/pid/09/3487,University of Groningen
https://dblp.org/pid/68/3460,Katholieke Universiteit Leuven
https://dblp.org/pid/82/1466,University of Amsterdam
https://dblp.org/pid/18/5038,University of Amsterdam
https://dblp.org/pid/90/8341,University of Amsterdam
https://dblp.org/pid/89/4514,Microsoft Corporation
https://dblp.org/pid/02/5889-19,Microsoft Corporation
https://dblp.org/pid/18/2343-2,Microsoft Corporation
https://dblp.org/pid/263/1824,Microsoft Corporation
https://dblp.org/pid/52/665-2,Microsoft Corporation
https://dblp.org/pid/36/6104,Microsoft Corporation
https://dblp.org/pid/y/ZheYang-1,Microsoft Corporation
https://dblp.org/pid/04/3001-4,Microsoft Corporation
https://dblp.org/pid/24/11231,Trinity College
https://dblp.org/pid/154/8215-2,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/54/9393,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/259/9164,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/78/6843,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/140/7247,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/183/3920,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/252/0628,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/17/3697,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/191/0653,Goethe University Frankfurt- Frankfurt am Main- Germany
https://dblp.org/pid/172/7500,Goethe University Frankfurt- Frankfurt am Main- Germany
