film_featured_song,film_featured_song_film_featured_song_id,film_featured_song_film_featured_song_id_Literal
film_featured_song,film_featured_song_freebase_url,film_featured_song_freebase_url_Literal
film_featured_song,film_featured_song_name,film_featured_song_name_Literal
film_featured_song,film_featured_song_performed_by,film_featured_song_performed_by_Literal
film_festival_event,film_festival_event_closing_date,film_festival_event_closing_date_Literal
film_festival_event,film_festival_event_film_festival_event_id,film_festival_event_film_festival_event_id_Literal
film_festival_event,film_festival_event_freebase_url,film_festival_event_freebase_url_Literal
film_festival_event,film_festival_event_name,film_festival_event_name_Literal
film_festival_event,film_festival_event_opening_date,film_festival_event_opening_date_Literal
film_film_company_relationship,film_film_company_relationship_film_film_company_relationshipid,film_film_company_relationship_film_film_company_relationshipid_Literal
film_film_company_relationship,film_film_company_relationship_freebase_url,film_film_company_relationship_freebase_url_Literal
film_film_company_relationship,film_film_company_relationship_role_service,film_film_company_relationship_role_service_Literal
film_job,film_job_film_jobid,film_job_film_jobid_Literal
film_job,film_job_name,film_job_name_Literal
film_location,film_location_film_locationid,film_location_film_locationid_Literal
film_location,film_location_name,film_location_name_Literal
film_series,film_series_film_seriesid,film_series_film_seriesid_Literal
film_series,film_series_name,film_series_name_Literal
film_set_designer,film_set_designer_film_set_designer_id,film_set_designer_film_set_designer_id_Literal
film_set_designer,film_set_designer_freebase_url,film_set_designer_freebase_url_Literal
film_set_designer,film_set_designer_name,film_set_designer_name_Literal
personal_film_appearance_type,personal_film_appearance_type_name,personal_film_appearance_type_name_Literal
personal_film_appearance_type,personal_film_appearance_type_personal_film_appearance_typeid,personal_film_appearance_type_personal_film_appearance_typeid_Literal
film_crewmember,film_crewmember_film_crewmemberid,film_crewmember_film_crewmemberid_Literal
film_crewmember,film_crewmember_name,film_crewmember_name_Literal
film_festival_focus,film_festival_focus_film_festival_focus_id,film_festival_focus_film_festival_focus_id_Literal
film_festival_focus,film_festival_focus_freebase_url,film_festival_focus_freebase_url_Literal
film_festival_focus,film_festival_focus_name,film_festival_focus_name_Literal
film_genre,film_genre_film_genreid,film_genre_film_genreid_Literal
film_genre,film_genre_name,film_genre_name_Literal
film_subject,film_subject_film_subjectid,film_subject_film_subjectid_Literal
film_subject,film_subject_name,film_subject_name_Literal
cinematographer,cinematographer_cinematographerid,cinematographer_cinematographerid_Literal
cinematographer,cinematographer_name,cinematographer_name_Literal
film_festival_sponsor,film_festival_sponsor_film_festival_sponsor_id,film_festival_sponsor_film_festival_sponsor_id_Literal
film_festival_sponsor,film_festival_sponsor_freebase_url,film_festival_sponsor_freebase_url_Literal
film_festival_sponsor,film_festival_sponsor_name,film_festival_sponsor_name_Literal
film_film_distributor_relationship,film_film_distributor_relationship_distributor,film_film_distributor_relationship_distributor_Literal
film_film_distributor_relationship,film_film_distributor_relationship_film_cut,film_film_distributor_relationship_film_cut_Literal
film_film_distributor_relationship,film_film_distributor_relationship_film_distribution_medium,film_film_distributor_relationship_film_distribution_medium_Literal
film_film_distributor_relationship,film_film_distributor_relationship_film_film_distributor_relationshipid,film_film_distributor_relationship_film_film_distributor_relationshipid_Literal
film_film_distributor_relationship,film_film_distributor_relationship_freebase_url,film_film_distributor_relationship_freebase_url_Literal
film_film_distributor_relationship,film_film_distributor_relationship_region,film_film_distributor_relationship_region_Literal
film_film_distributor_relationship,film_film_distributor_relationship_year,film_film_distributor_relationship_year_Literal
film_regional_release_date,film_regional_release_date_film_regional_debut_venue,film_regional_release_date_film_regional_debut_venue_Literal
film_regional_release_date,film_regional_release_date_film_regional_release_id,film_regional_release_date_film_regional_release_id_Literal
film_regional_release_date,film_regional_release_date_film_release_distribution_medium,film_regional_release_date_film_release_distribution_medium_Literal
film_regional_release_date,film_regional_release_date_film_release_region,film_regional_release_date_film_release_region_Literal
film_regional_release_date,film_regional_release_date_freebase_url,film_regional_release_date_freebase_url_Literal
film_regional_release_date,film_regional_release_date_name,film_regional_release_date_name_Literal
film_regional_release_date,film_regional_release_date_release_date,film_regional_release_date_release_date_Literal
film_theorist,film_theorist_film_theoristid,film_theorist_film_theoristid_Literal
film_theorist,film_theorist_name,film_theorist_name_Literal
film_crew_gig,film_crew_gig_film_crew_gigid,film_crew_gig_film_crew_gigid_Literal
film_crew_gig,film_crew_gig_id,film_crew_gig_id_Literal
film_crew_gig,film_crew_role,film_crew_role_Literal
editor,editor_editorid,editor_editorid_Literal
editor,editor_name,editor_name_Literal
film_story_contributor,film_story_contributor_film_story_contributorid,film_story_contributor_film_story_contributorid_Literal
film_story_contributor,film_story_contributor_name,film_story_contributor_name_Literal
film,title,title_Literal
film,language,language_Literal
interlink,linkid,linkid_Literal
interlink,link_target,link_target_Literal
interlink,link_type,link_type_Literal
interlink,linkage_run,linkage_run
interlink,linkage_score,linkage_score_Literal
film,country,country
film,editor,editor
film,film_art_director,film_art_director
film,film_film_company_relationship,film_film_company_relationship
film,film_series,film_series
film,film_set_designer,film_set_designer
film,genre,film_genre
film,music_contributor,music_contributor
film,producer,producer
film,production_company,production_company
film,rating,content_rating
film,sequel,film
film_crew_gig,film_crew_gig_film_job,film_job
film_crew_gig,film_crewmember,film_crewmember
film_cut,film_cut_film_cutid,film_cut_film_cutid_Literal
film_cut,film_cut_note,film_cut_note_Literal
film_cut,film_release_region,film_release_region_Literal
film,runtime,runtime_Literal
film_cut,type_of_film_cut,type_of_film_cut_Literal
film_format,film_format_film_formatid,film_format_film_formatid_Literal
film_format,film_format_name,film_format_name_Literal
writer,writer_name,writer_name_Literal
writer,writer_writerid,writer_writerid_Literal
producer,producer_name,producer_name_Literal
producer,producer_producerid,producer_producerid_Literal
content_rating,content_rating_system,content_rating_system
performance,film_character,film_character
film_festival,film_festival_event,film_festival_event
performance,performance_special_performance_type,special_film_performance_type
personal_film_appearance,personal_film_appearance_type,personal_film_appearance_type
actor,performance,performance
film,executive_producer,producer
film,featured_film_location,film_location
film,film_collection,film_collection
film,film_production_designer,film_production_designer
film,film_regional_release_date,film_regional_release_date
film,film_story_contributor,film_story_contributor
film,story_contributor,film_story_contributor
actor,actor_actorid,actor_actorid_Literal
actor,actor_name,actor_name_Literal
film,year,year_Literal
